14593,0.00209,-0.04339,-0.024984,0.041792,-0.021407,-0.027517,0.012182,0.040279,0.010018,0.018437,0.033578,-0.003237,-0.003364,-0.004539,0.008359,0.017391,0.019772,-0.003241,-0.001514,-0.017516,0.006914,0.003462,-0.000848,-0.009283,0.010912,0.017181,0.009668,-0.00963,-0.008501,0.001177,-0.003526,-0.015279,-0.000342,-0.022655,-0.01413,-0.023157,0.047472,-0.025641,-0.011049,0.007809,-0.006556,0.010259,0.019122,0.006934,-0.025579,0.009918,0.018818,-0.004675,0.009858,0.003388,0.006238,0.013764,-0.002244,-0.02834,-0.040972,-0.002896,-0.013919,0.004357,0.003483,-0.01157,0.018112
84788,-0.041967,0.028741,-0.027938,0.038014,-0.018062,-0.046782,-0.008071,0.034809,0.020401,0.025832,0.007381,-0.008941,0.013571,0.009923,0.001632,0.00987,0.014633,-0.006551,0.000311,-0.012562,0.004553,0.015571,0.009208,0.004787,0.00444,0.017418,0.01235,-0.006388,0.001776,-0.005456,-0.006724,-0.01702,0.026914,-0.002931,-0.023352,-0.03195,0.040319,-0.037799,-0.04384,0.011122,-0.052061,0.014621,0.013304,0.029194,-0.032044,0.000605,0.021436,-0.006385,0.015031,-0.012226,0.007485,0.04324,0.015966,0.019027,-0.018896,-0.006304,-0.03806,5.5e-05,0.039578,0.036009,-0.004127
10107,-0.007894,-0.02631,-0.041185,0.037841,-0.018833,-0.051334,0.03729,0.010773,0.007854,0.015585,0.020372,-0.007123,0.007826,-0.013266,0.002623,0.025401,0.014459,-0.012786,-0.004565,-0.009811,0.002154,0.006341,-0.003417,0.005787,0.006073,0.022345,0.002382,-0.024388,-0.005932,0.003516,0.00446,-0.018076,0.002584,-0.006979,-0.029087,-0.029068,0.075705,-0.045959,-0.000894,0.021031,-0.03013,0.013443,0.029205,0.000541,-0.023273,0.005985,0.023246,-0.010982,0.018724,-0.005343,0.01171,0.020176,0.003851,-0.003422,-0.011549,0.003684,-0.023388,-0.008699,0.021125,0.01655,-0.024003
13407,0.033175,-0.014553,-0.047404,0.022344,-0.027683,-0.04773,0.026402,0.001704,-0.01848,0.036789,0.002451,-0.014448,-0.007612,0.010795,0.006071,0.024024,0.008948,-0.018764,-0.017304,-0.013347,0.003865,0.021402,-0.003437,0.02186,-0.007457,0.01585,-0.002537,-0.015588,0.012701,-0.001792,0.00669,-0.067697,-0.025556,0.007374,-0.026566,-0.033356,0.004204,-0.048982,0.005321,0.044174,-0.027536,0.004634,-0.00647,0.027337,-0.01343,0.004644,0.04502,0.007756,-0.014731,0.003967,0.001884,0.023236,-0.013637,0.010459,-0.010827,-0.002646,-0.037084,0.0,0.090613,-0.003273,-0.009159
47896,0.010374,-0.022161,-0.047952,0.030423,0.006779,-0.04421,0.020022,0.015449,0.006175,0.023126,0.004173,-0.007186,0.000262,0.004184,-0.001823,0.020264,0.012446,-0.011872,-0.015849,-0.017922,-0.00097,0.015355,0.000869,-0.003734,8.7e-05,0.028761,-0.003219,-0.011984,-0.011183,0.002523,0.001736,-0.007883,0.00096,0.000872,-0.041747,-0.026739,0.030838,-0.0194,-0.001572,0.018241,-0.019278,0.013723,0.015183,0.013064,-0.024937,0.012009,0.019112,-0.016799,0.02486,-0.02708,-0.000816,0.0,-0.008075,0.021954,-0.002238,-0.004844,-0.004688,-0.003804,0.001,-0.006358,-0.005667
14542,-0.001915,-0.047786,-0.050454,0.023489,-0.029632,-0.04488,0.036205,0.013644,0.000152,0.016728,0.018529,0.004846,0.006997,0.008055,-0.004238,0.018218,0.015052,-0.02226,-0.012126,-0.031872,0.008789,0.011132,0.003786,0.013314,0.014744,0.030231,0.003845,-0.022611,0.009946,7.8e-05,-0.012048,-0.031619,-0.001918,-0.006222,-0.038318,-0.026223,0.030972,-0.045679,-0.000537,0.027106,-0.02454,0.006895,0.011575,0.002605,-0.020208,0.008351,0.015944,-0.011312,0.012295,-0.003138,0.008462,0.034856,-0.001936,0.01457,-0.013552,-0.005135,-0.04447,0.001177,0.018469,-0.009605,-0.012349
22111,0.013243,-0.016712,-0.052949,0.011044,-0.00311,-0.038503,0.025087,0.005713,-0.00238,-0.002232,0.012031,0.014631,-0.017124,-0.007335,0.0,0.016242,0.006741,-0.003029,-0.013595,-0.020019,0.012099,0.00753,-0.012096,0.006395,0.023404,0.013176,-0.008744,0.012968,-0.01511,0.005592,0.00466,-0.025733,0.007448,-0.000152,-0.029042,-0.017899,0.018305,-0.001413,0.001887,0.005492,-0.028014,0.030427,0.01605,0.0023,-0.019968,0.010773,0.005947,-0.00476,0.006171,0.001457,0.008728,-0.009259,-0.021603,-0.001331,-0.006978,0.001342,-0.005046,0.004517,0.009861,0.002031,-0.013877
11850,0.020275,-0.050971,-0.056903,-0.017185,-0.017996,-0.011308,0.00631,0.008445,-0.00157,0.002097,-0.00327,0.00433,-0.010321,-0.011353,0.012952,0.022014,0.016897,-0.016996,-0.02271,-0.00713,0.004654,0.00953,-0.00118,-0.025203,-0.001885,0.005936,0.00912,-0.009436,-0.012478,0.011141,0.009406,-0.012913,-0.002158,0.014191,-0.020522,-0.008299,0.015228,-0.004054,-0.012076,0.024722,-0.01863,0.024583,-0.001999,0.01536,-0.015128,0.0,0.029384,0.004671,-0.002712,0.008029,0.008993,-0.002674,0.011362,0.002525,-0.005288,0.007215,-0.015332,0.014678,0.017107,-0.037967,-0.000514
90319,-0.000533,-0.052802,-0.050759,0.020746,-0.026761,-0.045196,0.038265,0.007923,-0.000398,0.017607,0.017395,0.003793,0.007385,0.009206,-0.003457,0.016389,0.013838,-0.022899,-0.012161,-0.02945,0.011882,0.009796,0.005609,0.012844,0.012861,0.027856,0.004385,-0.022317,0.007878,0.001497,-0.014071,-0.03028,-0.003881,-0.001643,-0.03734,-0.025258,0.026828,-0.044731,-0.001748,0.031795,-0.023632,0.005975,0.010828,0.002846,-0.021973,0.01004,0.016087,-0.011037,0.011931,-0.001205,0.00971,0.031794,-0.003678,0.013074,-0.011134,-0.003258,-0.047653,0.000342,0.019863,-0.011368,-0.012478
59408,0.015625,-0.016923,-0.052895,0.031064,0.001603,-0.04832,0.019839,0.026047,0.001928,0.026299,0.006562,-0.007451,-0.001251,-0.001879,-0.005648,0.010729,0.012176,-0.002776,-0.007114,-0.015576,0.004765,0.015808,-0.000622,0.00218,0.000622,0.016149,0.003667,-0.014616,-0.006799,-0.001245,0.002181,-0.005906,0.0,-0.00344,-0.041418,-0.045172,0.043538,-0.030223,-0.004404,0.020415,-0.022674,0.009553,0.009801,0.014726,-0.022757,0.0081,0.020422,-0.019029,0.025084,-0.027733,0.004362,0.003675,-0.016977,0.022012,0.002651,0.001983,-0.004288,-0.001656,-0.002322,0.00266,-0.007629
